纯挚,纯真
推翻,颠覆
典范,典型
典型,典范
点缀,装点
装点,点缀
玷污,玷辱
玷辱,玷污
惦记,惦念
惦念,惦记
凋零,凋落
凋落,凋零
凋谢,凋零
调换,更换
更换,调换
替换,调换
掉队,落伍
落伍,掉队
钓饵,诱饵
诱饵,钓饵
懂得,理解
理解,懂得
了解,懂得
领会,懂得
动摇,摇动
摇动,动摇
动人,动听
动听,动人
恫吓,恐吓
恐吓,恫吓
吓唬,恫吓
陡峭,峻峭
峻峭,陡峭
毒辣,狠毒
狠毒,毒辣
独裁,专制
专制,独裁
独断,专断
专断,独断
赌气,负气
负气,赌气
生气,赌气
度过,渡过
渡过,度过
断定,判断
判断,断定
确定,断定
断送,葬送
葬送,断送
对抗,抗衡
抗衡,对抗
对照,对比
对比,对照
对峙,对立
对立,对峙
堕落,腐化
腐化,堕落
蜕化,堕落
讹诈,敲诈
敲诈,讹诈
欺诈,讹诈
恶毒,狠毒
狠毒,恶毒
恩惠,恩情
恩情,恩惠
恩典,恩惠
发布,宣布
宣布,发布
发动,动员
动员,发动
发抖,颤抖
颤抖,发抖
哆嗦,发抖
发掘,挖掘
挖掘,发掘
发明,发现
发现,发明
会见,会面
会面,会见
会晤,会见
会合,汇合
汇合,会合
会心,会意
会意,会心
昏暗,阴暗
阴暗,昏暗
浑厚,浑朴
浑朴,浑厚
浑厚,憨厚
憨厚,浑厚
憨实,憨厚
淳厚,浑厚
淳朴,浑厚
混乱,凌乱
凌乱,混乱
紊乱,杂乱
杂乱,混乱
混杂,混淆
混淆,混杂
混合,混杂
活力,活气
活气,活力
生机,活力
生气,活力
活泼,活跃
活跃,活泼
火把,火炬
火炬,火把
豁达,开朗
开朗,豁达
基础,基本
基本,基础
根基,基础
激动,冲动
冲动,激动
感动,激动
激烈,剧烈
剧烈,激烈
猛烈,激烈
饥荒,饥馑
饥馑,饥荒
机动,灵活
灵活,机动
机会,机遇
机遇,机会
时机,机会
机灵,机警
机警,机灵
机智,机灵
机密,秘密
秘密,机密
积累,积聚
积聚,积累
积存,积压
积压,积存
缉获,缴获
缴获,缉获
汲取,吸取
吸取,汲取
集合,聚集
聚集,集合
聚拢,集合
急切,迫切
迫切,急切
急迫,急切
急忙,匆忙
匆忙,急忙
慌忙,急忙
棘手,辣手
辣手,棘手
计划,规划
规划,计划
技巧,技能
技能,技巧
技术,技巧
伎俩,手法
手法,伎俩
记录,记载
发誓,起誓
起誓,发誓
赌咒,发誓
烦恼,懊恼
懊恼,烦恼
烦躁,焦躁
焦躁,烦躁
繁忙,忙碌
忙碌,繁忙
繁荣,繁华
繁华,繁荣
繁殖,滋生
滋生,繁殖
孳生,繁殖
反抗,对抗
对抗,反抗
反叛,反水
反水,反叛
叛变,反叛
反应,反映
反映,反应
反响,反应
反应,反响
范畴,范围
范围,范畴
犯法,犯罪
犯罪,犯法
方案,计划
计划,方案
方便,便利
便利,方便
范例,典范
典范,范例
方法,方式
方式,方法
方法,办法
办法,方法
法子,方法
芳香,芬芳
芬芳,芳香
防备,防范
防范,防备
提防,防备
妨碍,妨害
妨害,妨碍
阴碍,妨碍
访问,拜访
拜访,访问
造访,访问
走访,访问
仿造,仿制
仿制,仿造
放荡,放纵
放纵,放荡
放纵,放肆
放肆,放纵
放弃,废弃
废弃,放弃
飞奔,飞驰
飞驰,飞奔
飞翔,翱翔
翱翔,飞翔
飞行,飞翔
飞翔,飞行
菲薄,微薄
微薄,菲薄
诽谤,毁谤
毁谤,诽谤
诬蔑,诽谤
废除,废止
废止,废除
费心,费神
费神,费心
劳神,费心
分辩,辩白
辩白,分辩
分说,分辩
分辨,辨别
辨别,分辨
分别,分辨
分辨,分辩
分辩,分辨
分别,分离
分离,分别
分手,分别
分析,剖析
剖析,分析
纷纷,纷纭
纷纭,纷纷
纷繁,纷纷
纷乱,缭乱
缭乱,纷乱
凌乱,纷乱
吩咐,嘱咐
嘱咐,吩咐
叮嘱,吩咐
粉饰,掩饰
掩饰,粉饰
奋斗,斗争
斗争,奋斗
奋发,发奋
发奋,奋发
发愤,奋发
丰富,丰盛
丰盛,丰富
丰厚,丰富
丰富,丰硕
丰硕,丰富
丰收,丰产
丰产,丰收
丰登,丰收
风采,风度
风度,风采
风度,风姿
风姿,风度
风韵,风度
风景,景致
景致,风景
景色,风景
风气,风尚
风尚,风气
风俗,风气
风趣,幽默
幽默,风趣
风行,盛行
盛行,风行
流行,风行
锋利,锐利
锐利,锋利
犀利,锋利
讽刺,讥讽
讥讽,讽刺
讥诮,讽刺
挖苦,讽刺
奉承,阿谀
阿谀,奉承
恭维,奉承
否定,否认
否认,否定
敷衍,应付
应付,敷衍
肤浅,浮浅
浮浅,肤浅
浅薄,肤浅
浮现,显现
显现,浮现
呈现,浮现
浮躁,急躁
急躁,浮躁
服从,遵从
遵从,服从
顺从,服从
抚养,抚育
抚育,抚养
扶植,培植
培植,扶植
腐败,腐朽
腐朽,腐败
腐烂,糜烂
糜烂,腐烂
腐败,腐烂
腐化,腐蚀
腐蚀,腐化
附近,邻近
邻近,附近
左近,附近
附属,从属
从属,附属
隶属,附属
富饶,富裕
富裕,富饶
富强,强盛
强盛,富强
负伤,挂花
挂花,负伤
挂彩,负伤
复习,温习
温习,复习
复杂,庞杂
庞杂,复杂
繁杂,复杂
改革,改造
改造,改革
革新,改革
改良,改进
改进,改良
改善,改良
改正,矫正
矫正,改正
干净,清洁
清洁,干净
洁净,干净
干枯,干涸
干涸,干枯
干涉,干预
干预,干涉
甘心,情愿
情愿,甘心
感到,觉得
觉得,感到
感觉,感到
感谢,感激
感激,感谢
感想,感触
感触,感想
感叹,感慨
感慨,感叹
刚强,坚强
坚强,刚强
纲领,纲要
纲要,纲领
高超,高明
高明,高超
高昂,昂扬
昂扬,高昂
高低,高下
高下,高低
上下,高低
高雅,文雅
文雅,高雅
高级,高等
高等,高级
高档,高级
高尚,高贵
高贵,高尚
高深,精深
精深,高深
精湛,高深
高兴,愉快
愉快,高兴
兴奋,高兴
告诉,告知
告知,告诉
奉告,告诉
歌颂,歌唱
歌唱,歌颂
讴歌,歌颂
隔绝,隔断
隔断,隔绝
格式,格局
格局,格式
款式,格式
根本,基本
基本,根本
根据,依据
依据,根据
更换,改换
改换,更换
工夫,功夫
功夫,工夫
公平,公正
公正,公平
公道,公平
功效,功能
功能,功效
功劳,功绩
功绩,功劳
功勋,功劳
恭敬,恭顺
恭顺,恭敬
供给,供应
供应,供给
提供,供给
供养,赡养
赡养,供养
共鸣,共识
共识,共鸣
勾画,勾勒
勾勒,勾画
勾结,勾搭
勾搭,勾结
勾引,引诱
引诱,勾引
购置,购买
购买,购置
估计,估量
估量,估计
孤单,孤独
孤独,孤单
鼓励,激励
激励,鼓励
鼓动,煽动
煽动,鼓动
怂恿,鼓动
古怪,怪僻
怪僻,古怪
故居,旧居
旧居,故居
故乡,家乡
家乡,故乡
顾问,参谋
参谋,顾问
固执,执拗
执拗,固执
顽固,固执
挂念,牵挂
牵挂,挂念
观察,察看
察看,观察
观赏,欣赏
欣赏,观赏
关心,关怀
关怀,关心
关切,关心
贯穿,贯串
贯串,贯穿
惯例,通例
通例,惯例
常规,惯例
惯用,习用
习用,惯用
光明,光亮
光亮,光明
光荣,光彩
光彩,光荣
荣耀,光荣
光辉,辉煌
辉煌,光辉
广博,渊博
渊博,广博
广阔,辽阔
辽阔,广阔
宽阔,广阔
广泛,普遍
普遍,广泛
规矩,规则
规则,规矩
规模,范围
范围,规模
归罪,归咎
归咎,归罪
诡辩,狡辩
狡辩,诡辩
诡计,阴谋
阴谋,诡计
国土,领土
领土,国土
国事,国是
国是,国事
国家,国度
国度,国家
国民,公民
公民,国民
人民,国民
果断,武断
武断,果断
过细,细致
细致,过细
过程,进程
进程,过程
历程,过程
过火,过分
过分,过火
过头,过火
过甚,过火
过剩,多余
多余,过剩
害怕,惧怕
惧怕,害怕
恐惧,害怕
含混,含糊
含糊,含混
模糊,含混
豪放,豪迈
豪迈,豪放
豪爽,豪放
豪华,奢华
奢华,豪华
豪情,激情
激情,豪情
好汉,英雄
英雄,好汉
耗费,消耗
消耗,耗费
耗损,耗费
号召,号令
号令,号召
召唤,号召
和睦,和气
和气,和睦
和气,和蔼
和蔼,和气
和善,和气
和谐,协调
协调,和谐
合适,适合
适合,合适
适宜,合适
合格,及格
及格,合格
黑沉沉,黑洞洞
黑洞洞,黑沉沉
黑魆魆,黑沉沉
黑糊糊,黑沉沉
黑黝黝,黑沉沉
衡量,权衡
权衡,衡量
烘托,衬托
衬托,烘托
宏伟,雄伟
雄伟,宏伟
宏大,巨大
巨大,宏大
庞大,宏大
忽略,疏忽
摆脱,解脱
解脱,摆脱
挣脱,摆脱
拜见,拜会
拜会,拜见
拜望,拜见
拜谒,拜见
颁布,公布
公布,颁布
伴随,随同
随同,伴随
伴同,伴随
帮助,辅助
辅助,帮助
帮凶,爪牙
爪牙,帮凶
走狗,帮凶
榜样,模范
模范,榜样
楷模,榜样
表率,榜样
傍晚,薄暮
薄暮,傍晚
黄昏,傍晚
褒奖,嘉奖
嘉奖,褒奖
夸奖,褒奖
包含,包括
包括,包含
包孕,包含
包围,包抄
包抄,包围
保持,坚持
坚持,保持
维持,保持
保存,保留
保留,保存
保护,维护
维护,保护
保卫,捍卫
捍卫,保卫
保养,颐养
颐养,保养
保重,珍重
珍重,保重
饱满,丰满
丰满,饱满
抱歉,负疚
负疚,抱歉
抱怨,埋怨
埋怨,抱怨
悲哀,悲痛
悲痛,悲哀
悲恸,悲哀
悲凉,凄凉
凄凉,悲凉
凄切,悲凉
凄惨,悲凉
卑鄙,卑劣
卑劣,卑鄙
卑贱,卑下
卑下,卑贱
低贱,卑贱
卑微,低微
低微,卑微
微贱,卑微
奔跑,奔驰
奔驰,奔跑
奔腾,奔跑
奔走,奔忙
奔忙,奔走
奔波,奔走
本来,原来
原来,本来
原本,本来
原先,本来
本事,本领
本领,本事
本质,实质
实质,本质
本色,本质
爱护,爱惜
爱惜,爱护
珍惜,爱护
爱慕,倾慕
倾慕,爱慕
羡慕,爱慕
爱好,喜好
喜好,爱好
喜欢,爱好
喜爱,爱好
嗜好,爱好
暧昧,暗昧
暗昧,暧昧
含糊,暧昧
安定,安宁
安宁,安定
安静,宁静
宁静,安静
恬静,安静
平静,安静
清静,安静
寂静,安静
幽静,安静
安排,部署
部署,安排
布置,安排
安排,支配
支配,安排
安排,支配
支配,安排
安适,安逸
安逸,安适
安闲,安适
安慰,抚慰
抚慰,安慰
劝慰,安慰
安稳,平稳
平稳,安稳
安息,安眠
安眠,安息
安闲,清闲
清闲,安闲
悠闲,安闲
安置,安顿
安顿,安置
安放,安置
暗害,暗杀
暗杀,暗害
暗算,暗害
暗藏,隐藏
隐藏,暗藏
潜藏,暗藏
暗影,阴影
阴影,暗影
按照,依照
依照,按照
遵照,按照
肮脏,龌龊
龌龊,肮脏
恶浊,肮脏
鏖战,激战
激战,鏖战
懊悔,后悔
后悔,懊悔
忏悔,懊悔
把守,扼守
扼守,把守
把持,操纵
操纵,把持
控制,把持
白费,空费
空费,白费
枉费,白费
白净,白皙
白皙,白净
摆设,陈设
陈设,摆设
陈列,摆设
本相,原形
原形,本相
真相,本相
本性,天性
天性,本性
笨拙,愚笨
愚笨,笨拙
愚蠢,笨拙
崩溃,瓦解
瓦解,崩溃
逼迫,强迫
强迫,逼迫
逼真,真切
真切,逼真
比较,比拟
比拟,比较
对比,比较
比赛,竞赛
竞赛,比赛
比喻,比方
比方,比喻
笔挺,笔直
笔直,笔挺
鄙弃,唾弃
唾弃,鄙弃
鄙弃,唾弃
蔑视,鄙弃
藐视,鄙弃
轻视,鄙弃
弊病,弊端
弊端,弊病
毛病,弊病
必定,一定
一定,必定
必然,必定
必须,必需
必需,必须
毕竟,究竟
究竟,毕竟
终究,毕竟
毕生,终生
终生,毕生
终身,毕生
鞭笞,鞭挞
鞭挞,鞭笞
编辑,编纂
编纂,编辑
边境,边疆
边疆,边境
边陲,边境
边沿,边缘
边缘,边沿
辨别,鉴别
鉴别,辨别
辨认,识别
识别,辨认
辩护,辩解
辩解,辩护
辩白,辩护
变更,变革
变革,变更
变化,变更
变节,叛变
叛变,变节
标记,标志
标志,标记
标题,题目
题目,标题
标准,尺度
尺度,标准
表现,表示
表示,表现
表扬,表彰
表彰,表扬
别名,别号
别号,别名
冰冷,冰凉
冰凉,冰冷
兵器,武器
武器,兵器
禀赋,天赋
天赋,禀赋
波涛,波澜
波澜,波涛
波折,曲折
曲折,波折
博得,赢得
赢得,博得
搏斗,格斗
格斗,搏斗
肉搏,搏斗
哺养,哺育
哺育,哺养
补充,弥补
弥补,补充
补贴,补助
补助,补贴
部队,军队
军队,部队
猜忌,猜疑
猜疑,猜忌
怀疑,猜忌
才干,才华
才华,才干
才气,才干
才能,才干
材料,资料
资料,材料
采用,采取
采取,采用
采纳,采用
参军,从军
从军,参军
入伍,参军
参加,加入
加入,参加
残暴,残酷
残酷,残暴
残忍,残暴
灿烂,残暴
绚烂,残暴
璀璨,残暴
苍茫,苍莽
苍莽,苍茫
仓促,仓皇
仓皇,仓促
操心,费心
费心,操心
操行,品行
品行,操行
草率,轻率
轻率,草率
策划,谋划
谋划,策划
筹划,谋划
测验,考试
考试,测验
差别,差异
差异,差别
区别,差别
查访,察访
察访,查访
刹那,霎时
霎时,刹那
顷刻,刹那
搀和,搀杂
搀杂,搀和
产生,发生
发生,产生
铲除,革除
革除,铲除
根除,铲除
阐明,说明
说明,阐明
谄谀,谄媚
谄媚,谄谀
讨好,谄谀
猖狂,猖獗
猖獗,猖狂
疯狂,猖狂
长久,久长
久长,长久
悠久,长久
长年,终年
终年,长年
场合,场所
场所,场合
怅惘,惘然
惘然,怅惘
抄写,缮写
缮写,抄写
抄录,抄写
抄袭,剽窃
剽窃,抄袭
超出,超越
超越,超出
越过,超出
嘲笑,讥笑
讥笑,嘲笑
耻笑,嘲笑
撤退,退却
退却,撤退
沉静,沉寂
沉寂,沉静
寂静,沉静
沉默,缄默
缄默,沉默
默然,沉默
沉沦,沉溺
沉溺,沉沦
沉湎,沉沦
沉思,寻思
寻思,沉思
深思,沉思
沉重,繁重
繁重,沉重
晨光,晨曦
晨曦,晨光
陈述,陈说
陈说,陈述
述说,陈述
陈腐,陈旧
陈旧,陈腐
衬托,陪衬
陪衬,衬托
称赞,称颂
称颂,称赞
夸奖,称赞
成功,胜利
胜利,成功
成果,结果
结果,成果
后果,成果
成规,陈规
陈规,成规
成绩,成就
成就,成绩
成就,造诣
造诣,成就
诚恳,恳切
恳切,诚恳
诚心,诚恳
诚挚,真挚
真挚,诚挚
诚实,老实
老实,诚实
程度,水平
水平,程度
承诺,许诺
许诺,承诺
允诺,承诺
迟疑,犹豫
犹豫,迟疑
踌躇,迟疑
驰名,驰誉
驰誉,驰名
驰名,闻名
闻名,驰名
持续,连续
连续,持续
继续,持续
耻辱,羞辱
羞辱,耻辱
赤忱,赤心
赤诚,耻辱
赤心,赤忱
丹心,赤忱
斥责,叱责
叱责,斥责
责备,斥责
炽热,灼热
灼热,炽热
充当,充任
充任,充当
充分,充足
充足,充分
充沛,充分
充满,充斥
充斥,充满
充溢,充满
充裕,富余
富余,充裕
富裕,充裕
富足,充裕
冲洗,冲刷
冲刷,冲洗
憧憬,向往
向往,憧憬
崇拜,崇敬
崇敬,崇拜
崇高,高尚
高尚,崇高
重复,反复
反复,重复
宠爱,溺爱
溺爱,宠爱
抽泣,抽咽
抽咽,抽泣
抽噎,抽泣
啜泣,抽泣
筹备,准备
准备,筹备
筹办,筹备
筹划,计划
计划,筹划
仇恨,冤仇
冤仇,仇恨
仇恨,痛恨
痛恨,仇恨
憎恨,仇恨
愁闷,忧郁
忧郁,愁闷
郁闷,愁闷
稠密,浓密
浓密,稠密
丑陋,丑恶
丑恶,丑陋
出发,动身
动身,出发
起程,出发
启程,出发
出色,杰出
杰出,出色
卓越,出色
出生,诞生
诞生,出生
出身,出生
出生,出身
出现,呈现
呈现,出现
处分,处罚
处罚,处分
惩罚,处分
处理,处置
处置,处理
处所,地方
地方,处所
矗立,耸立
耸立,矗立
屹立,矗立
挺立,矗立
揣摩,琢磨
琢磨,揣摩
传播,传布
传布,传播
传闻,风闻
风闻,传闻
创办,开办
开办,创办
创立,创建
创建,创立
创造,发明
发明,创造
吹捧,吹嘘
吹嘘,吹捧
锤炼,锻炼
锻炼,锤炼
磨炼,锤炼
纯粹,纯洁
纯洁,纯粹
纯正,纯粹
纯真,纯粹
疏忽,忽视
忽视,疏忽
漠视,疏忽
无视,疏忽
花白,斑白
斑白,花白
花费,破费
破费,花费
花样,名堂
名堂,花样
花招,把戏
把戏,花招
华丽,富丽
富丽,华丽
华丽,华美
华美,华丽
滑头,狡黠
狡黠,滑头
刁滑,滑头
滑稽,幽默
幽默,滑稽
诙谐,滑稽
化装,化妆
化妆,化装
怀疑,疑惑
疑惑,怀疑
疑心,怀疑
狐疑,怀疑
欢乐,欢喜
欢喜,欢乐
欢腾,欢跃
欢跃,欢腾
欢乐,欢快
欢快,欢乐
欢畅,欢乐
缓慢,迟缓
迟缓,缓慢
涣散,散漫
散漫,涣散
豢养,喂养
喂养,豢养
幻想,空想
空想,幻想
梦想,幻想
幻灭,破灭
破灭,幻灭
荒废,旷废
旷废,荒废
荒漠,荒凉
荒凉,荒漠
荒谬,荒诞
荒诞,荒谬
荒唐,荒谬
荒野,荒原
荒原,荒野
荒漠,荒野
慌张,张皇
张皇,慌张
惶恐,惊慌
惊慌,惶恐
谎言,谣言
谣言,谎言
挥动,挥舞
挥舞,挥动
回避,躲避
躲避,回避
逃避,回避
回击,还击
还击,回击
反击,回击
回生,复生
复生,回生
复活,回生
回想,回忆
回忆,回想
回顾,回想
回首,回想
回旋,盘旋
盘旋,回旋
悔过,悔悟
悔悟,悔过
记载,记录
记录,记载
家属,家眷
家眷,家属
嘉奖,奖励
奖励,嘉奖
加强,增强
增强,加强
枷锁,桎梏
桎梏,枷锁
夹杂,搀杂
搀杂,夹杂
假话,谎话
谎话,假话
谎言,假话
假想,设想
设想,假想
假装,伪装
伪装,假装
装作,假装
价格,价钱
价钱,价格
坚固,牢固
牢固,坚固
牢靠,坚固
坚强,顽强
顽强,坚强
艰巨,艰难
艰难,艰巨
艰苦,艰难
艰难,艰苦
困难,艰苦
坚毅,刚毅
刚毅,坚毅
尖锐,尖利
尖利,尖锐
监督,监视
监视,监督
兼顾,统筹
统筹,兼顾
检查,检讨
检讨,检查
反省,检查
检举,揭发
揭发,检举
俭朴,简朴
简朴,俭朴
简洁,简练
简练,简洁
简略,简单
简单,简略
简要,扼要
扼要,简要
见面,会晤
会晤,见面
建立,树立
树立,建立
见解,看法
看法,见解
讲解,讲授
讲授,讲解
解说,讲解
讲究,讲求
讲求,讲究
考究,讲究
降落,下降
下降,降落
降低,下降
下降,降低
降生,出世
出世,降生
交错,交织
交织,交错
交换,交流
交流,交换
交界,接壤
接壤,交界
骄傲,自豪
自豪,骄傲
高傲,骄傲
狡猾,狡诈
狡诈,狡猾
校订,校正
校正,校订
校对,校订
叫嚷,叫唤
叫唤,叫嚷
叫喊,叫嚷
教导,教诲
教诲,教导
教育,教导
教唆,唆使
唆使,教唆
挑唆,教唆
接济,救济
救济,接济
接收,接受
接受,接收
接管,接收
接洽,联系
联系,接洽
揭露,揭穿
揭穿,揭露
揭发,揭露
揭幕,开幕
开幕,揭幕
结构,构造
构造,结构
结束,停止
停止,结束
收场,结束
节俭,节省
节省,节俭
节约,节俭
节制,控制
控制,节制
解释,说明
说明,解释
解聘,解职
解职,解聘
戒备,防备
防备,戒备
界限,界线
界线,界限
紧急,紧迫
紧迫,紧急
谨慎,谨严
谨严,谨慎
进步,提高
提高,进步
尽情,纵情
纵情,尽情
尽头,止境
止境,尽头
禁止,制止
制止,禁止
阻止,禁止
惊愕,惊诧
惊诧,惊愕
惊慌,惊惶
惊惶,惊慌
惊悸,惊慌
惊恐,惊骇
惊骇,惊恐
惶恐,惊恐
经历,阅历
阅历,经历
精彩,出色
出色,精彩
精华,精髓
精髓,精华
精良,优良
优良,精良
精美,优美
优美,精美
精悍,精干
精干,精悍
精巧,精致
精致,精巧
精美,精巧
精深,精湛
精湛,精深
深湛,精深
精力,精神
精神,精力
精致,精细
精细,精致
警惕,警戒
警戒,警惕
警惕,小心
小心,警惕
景象,气象
气象,景象
敬慕,仰慕
仰慕,敬慕
敬佩,敬仰
敬仰,敬佩
敬重,敬佩
纠正,改正
改正,纠正
救济,救援
救援,救济
就义,捐躯
捐躯,就义
牺牲,就义
拘束,拘谨
拘谨,拘束
居心,用心
用心,居心
存心,居心
局面,局势
局势,局面
举办,举行
举行,举办
举动,举措
举措,举动
行动,举动
巨大,伟大
伟大,巨大
聚会,聚首
聚首,聚会
拒绝,谢绝
谢绝,拒绝
回绝,拒绝
觉悟,觉醒
觉醒,觉悟
醒悟,觉悟
决裂,破裂
破裂,决裂
分裂,决裂
决定,决议
决议,决定
抉择,决定
崛起,突起
突起,崛起
倔强,顽强
顽强,倔强
开创,首创
首创,开创
创始,开创
开导,劝导
劝导,开导
开端,开始
开始,开端
起头,开端
开口,启齿
启齿,开口
开朗,爽朗
爽朗,开朗
开辟,开拓
开拓,开辟
勘察,勘探
勘探,勘察
看待,对待
对待,看待
看法,见地
见地,看法
慷慨,大方
大方,慷慨
考虑,斟酌
斟酌,考虑
考核,考察
考察,考核
考查,考核
苛刻,刻薄
刻薄,苛刻
可贵,宝贵
宝贵,可贵
珍贵,可贵
可怕,恐怖
恐怖,可怕
渴望,盼望
盼望,渴望
刻画,描绘
描绘,刻画
克服,战胜
战胜,克服
克制,抑制
抑制,克制
恳求,请求
请求,恳求
空洞,空泛
空泛,空洞
恐吓,威吓
威吓,恐吓
恐怖,恐惧
恐惧,恐怖
控告,控诉
控诉,控告
控制,掌握
掌握,控制
口吻,口气
口气,口吻
哭泣,呜咽
呜咽,哭泣
啼哭,哭泣
苦楚,痛楚
痛楚,苦楚
痛苦,苦楚
夸张,夸大
夸大,夸张
夸耀,夸奖
夸奖,夸耀
夸耀,炫耀
炫耀,夸耀
夸奖,称赞
称赞,夸奖
赞美,夸奖
快活,快乐
快乐,快活
宽大,广大
广大,宽大
宽阔,宽敞
宽敞,宽阔
狂妄,傲慢
傲慢,狂妄
窥测,窥伺
窥伺,窥测
窥探,窥测
亏本,赔本
赔本,亏本
蚀本,亏本
魁梧,魁伟
魁伟,魁梧
困倦,困乏
困乏,困倦
困惑,迷惑
迷惑,困惑
疑惑,困惑
扩大,扩展
扩展,扩大
扩张,扩大
阔气,阔绰
阔绰,阔气
拉拢,笼络
笼络,拉拢
邋遢,肮脏
肮脏,邋遢
来往,交往
交往,来往
拦阻,拦截
拦截,拦阻
阻挡,拦阻
懒惰,懒散
懒散,懒惰
浪费,挥霍
挥霍,浪费
牢固,稳固
稳固,牢固
牢骚,怨言
怨言,牢骚
劳碌,忙碌
忙碌,劳碌
老练,干练
干练,老练
累赘,包袱
包袱,累赘
负担,累赘
雷同,相同
相同,雷同
类似,相似
相似,类似
冷淡,冷漠
冷漠,冷淡
冷酷,冷淡
冷清,冷僻
冷僻,冷清
冷静,沉着
沉着,冷静
离开,分开
分开,离开
理想,幻想
幻想,理想
利益,好处
好处,利益
利用,应用
应用,利用
力量,力气
力气,力量
气力,力量
廉洁,廉明
廉明,廉洁
廉正,廉洁
连接,衔接
衔接,连接
连累,牵连
牵连,连累
株连,连累
联合,结合
结合,联合
脸色,神色
神色,脸色
凉快,凉爽
凉爽,凉快
粮食,食粮
食粮,粮食
缭绕,围绕
围绕,缭绕
萦绕,缭绕
料想,猜想
猜想,料想
裂缝,裂痕
裂痕,裂缝
邻近,临近
临近,邻近
吝啬,小气
小气,吝啬
凌晨,清晨
清晨,凌晨
早晨,凌晨
凌辱,侮辱
侮辱,凌辱
零碎,零星
零星,零碎
零散,零碎
灵活,灵巧
灵巧,灵活
灵便,灵活
领会,体会
体会,领会
领导,引导
引导,领导
指导,领导
领域,范畴
范畴,领域
浏览,阅读
阅读,浏览
涉猎,浏览
流畅,流利
流利,流畅
流传,传播
传播,流传
流浪,流落
流落,流浪
漂泊,流浪
流露,吐露
吐露,流露
透露,流露
流言,谣言
谣言,流言
留心,留意
留意,留心
留神,留心
隆重,盛大
盛大,隆重
笼罩,覆盖
覆盖,笼罩
漏洞,破绽
破绽,漏洞
履行,实行
实行,履行
执行,履行
掠夺,抢夺
抢夺,掠夺
掠取,掠夺
沦陷,失守
失守,沦陷
论述,阐述
阐述,论述
裸露,袒露
袒露,裸露
暴露,裸露
落后,落伍
落伍,落后
后进,落后
麻痹,麻木
麻木,麻痹
埋伏,潜伏
潜伏,埋伏
买通,打通
打通,买通
蛮横,野蛮
野蛮,蛮横
谩骂,漫骂
漫骂,谩骂
忙乱,慌乱
慌乱,忙乱
莽撞,鲁莽
鲁莽,莽撞
冒失,莽撞
毛病,缺点
缺点,毛病
错误,毛病
茂盛,旺盛
旺盛,茂盛
美好,美妙
美妙,美好
美丽,漂亮
漂亮,美丽
标致,美丽
美满,圆满
圆满,美满
门路,途径
途径,门路
路子,门路
蒙受,承受
承受,蒙受
迷恋,留恋
留恋,迷恋
依恋,迷恋
弥补,填补
填补,弥补
密切,亲密
亲密,密切
绵延,连绵
连绵,绵延
缅怀,怀念
怀念,缅怀
免职,撤职
撤职,免职
罢免,免职
勉励,鼓励
鼓励,勉励
面貌,面孔
面孔,面貌
苗条,修长
修长,苗条
描写,描述
描述,描写
